SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	PARTNER RACE	RESPONSE	RT	START TIME
032	2	2	52	121	white_mw074.bmp	0	1	7.667069	6819.046067
032	2	2	53	122	white_mw049.bmp	0	4	4.510199	6826.826671
032	2	2	54	123	other_00841_940307_fb_edt.bmp	2	6	2.590543	6831.458393
032	2	2	55	124	black_mb093.bmp	1	5	9.123382	6834.157462
032	2	2	56	125	white_mw058.bmp	0	4	1.773110	6843.387630
032	2	2	57	126	white_mw095.bmp	0	6	1.906435	6845.270310
032	2	2	58	127	white_mw098.bmp	0	5	5.618374	6847.286285
032	2	2	59	128	other_00625_940928_fb_edt.bmp	2	4	1.350978	6853.017640
032	2	2	60	129	black_mb073.bmp	1	4	3.308750	6854.483803
032	2	2	61	130	other_00976_960627_fb_edt.bmp	2	6	1.493305	6857.899283
032	2	2	62	131	black_mb082.bmp	1	7	1.117840	6859.498719
032	2	2	63	132	other_00869_940307_fa_edt.bmp	2	4	2.140858	6860.731632
032	2	2	64	133	black_mb047.bmp	1	5	1.451609	6862.980872
032	2	2	65	134	other_00726_941201_fb_edt.bmp	2	6	1.333361	6864.547000
032	2	2	66	135	black_mb055.bmp	1	4	1.403932	6865.996500
032	2	2	67	136	black_mb085.bmp	1	5	2.439727	6867.512646
032	2	2	68	137	white_mw067.bmp	0	8	3.650460	6870.061778
032	2	2	69	138	white_mw076.bmp	0	4	2.173124	6873.827120
