77, 3, 3, blackgood, Black, White, Great, 7.487954e+04, 7.497575e+04, 7.497600e+04, e, 1.168083e+00, 1, 1.168083e+00
78, 1, 3, blackgood, Black, White, B1jpg.jpg, 7.487954e+04, 7.497719e+04, 7.497744e+04, e, 1.197919e+00, 1, 1.197919e+00
79, 3, 3, blackgood, Black, White, Terrific, 7.487954e+04, 7.497864e+04, 7.497889e+04, e, 6.448275e-01, 1, 6.448275e-01
80, 1, 3, blackgood, Black, White, B6jpg.jpg, 7.487954e+04, 7.497955e+04, 7.497981e+04, e, 5.312976e-01, 1, 5.312976e-01
81, 4, 3, blackgood, Black, White, Horrid, 7.487954e+04, 7.498036e+04, 7.498061e+04, i, 5.550450e-01, 1, 5.550450e-01
82, 1, 3, blackgood, Black, White, B2jpg.jpg, 7.487954e+04, 7.498118e+04, 7.498143e+04, e, 4.948999e-01, 1, 4.948999e-01
83, 4, 3, blackgood, Black, White, Nasty, 7.487954e+04, 7.498194e+04, 7.498220e+04, i, 5.545438e-01, 0, 9.176790e-01
84, 1, 3, blackgood, Black, White, B4jpg.jpg, 7.487954e+04, 7.498314e+04, 7.498339e+04, e, 4.590351e-01, 1, 4.590351e-01
85, 3, 3, blackgood, Black, White, Fabulous, 7.487954e+04, 7.498386e+04, 7.498412e+04, e, 5.190828e-01, 1, 5.190828e-01
86, 2, 3, blackgood, Black, White, W5jpg.jpg, 7.487954e+04, 7.498466e+04, 7.498491e+04, i, 3.986611e-01, 0, 8.333376e-01
87, 4, 3, blackgood, Black, White, Awful, 7.487954e+04, 7.498576e+04, 7.498601e+04, i, 6.449866e-01, 1, 6.449866e-01
88, 1, 3, blackgood, Black, White, B9jpg.jpg, 7.487954e+04, 7.498667e+04, 7.498693e+04, e, 5.191703e-01, 1, 5.191703e-01
89, 4, 3, blackgood, Black, White, Foul, 7.487954e+04, 7.498746e+04, 7.498772e+04, i, 7.119531e-01, 1, 7.119531e-01
90, 1, 3, blackgood, Black, White, B4jpg.jpg, 7.487954e+04, 7.498844e+04, 7.498869e+04, e, 5.492088e-01, 1, 5.492088e-01
91, 3, 3, blackgood, Black, White, Terrific, 7.487954e+04, 7.498925e+04, 7.498950e+04, e, 1.402021e+00, 1, 1.402021e+00
